Pokemon,Number,Color,Habitat,Generation,Egg Group,Description
Bulbasaur,1,green,grassland,generation-i,no-eggs,a strange seed was planted on its back at birth.the plant sprouts and grows with this pokémon.
Bulbasaur,1,green,grassland,generation-i,no-eggs,"it can go for days without eating a single morsel.in the bulb on its back, it stores energy."
Bulbasaur,1,green,grassland,generation-i,no-eggs,the seed on its back is filled with nutrients.the seed grows steadily larger as its body grows.
Bulbasaur,1,green,grassland,generation-i,no-eggs,"it carries a seed on its back right from birth. as itgrows older, the seed also grows larger."
Bulbasaur,1,green,grassland,generation-i,no-eggs,"while it is young, it uses the nutrients that arestored in the seeds on its back in order to grow."
Bulbasaur,1,green,grassland,generation-i,no-eggs,"bulbasaur can be seen napping in bright sunlight. there is a seed on its back.by soaking up the sun’s rays, the seed grows progressively larger."
Bulbasaur,1,green,grassland,generation-i,no-eggs,"bulbasaur can be seen napping in bright sunlight. there is a seed on its back. by soaking up the sun’s rays, the seed grows progressively larger."
Bulbasaur,1,green,grassland,generation-i,no-eggs,there is a plant seed on its back right from the day this pokémon is born. the seed slowly grows larger.
Bulbasaur,1,green,grassland,generation-i,no-eggs,a strange seed was planted on its back at birth. the plant sprouts and grows with this pokémon.
Bulbasaur,1,green,grassland,generation-i,no-eggs,"for some time after its birth, it grows by gaining nourishment from the seed on its back."
Bulbasaur,1,green,grassland,generation-i,no-eggs,the seed on its back is filled with nutrients. the seed grows steadily larger as its body grows.
Bulbasaur,1,green,grassland,generation-i,no-eggs,"it carries a seed on its back right from birth. as it grows older, the seed also grows larger."
Bulbasaur,1,green,grassland,generation-i,no-eggs,"it can go for days without eating a single morsel. in the bulb on its back, it stores energy."
Bulbasaur,1,green,grassland,generation-i,no-eggs,"while it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
Ivysaur,2,green,grassland,generation-i,no-eggs,"when the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs."
Ivysaur,2,green,grassland,generation-i,no-eggs,the bulb on its back grows by drawing energy.it gives off an aroma when it is ready to bloom.
Ivysaur,2,green,grassland,generation-i,no-eggs,exposure to sun­ light adds to its strength. sunlightalso makes the bud on its back grow larger.
Ivysaur,2,green,grassland,generation-i,no-eggs,"if the bud on its back starts to smell sweet, itis evidence that the large flower will soon bloom."
Ivysaur,2,green,grassland,generation-i,no-eggs,the bulb on its back grows as it absorbs nutrients.the bulb gives off a pleasant aroma when it blooms.
Ivysaur,2,green,grassland,generation-i,no-eggs,"there is a bud on this pokémon’s back. to support its weight, ivysaur’s legs and trunk grow thick and strong.if it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
Ivysaur,2,green,grassland,generation-i,no-eggs,"to support its bulb, ivysaur’s legs grow sturdy. if it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
Ivysaur,2,green,grassland,generation-i,no-eggs,"there is a plant bulb on its back. when it absorbs nutrients, the bulb is said to blossom into a large flower."
Ivysaur,2,green,grassland,generation-i,no-eggs,"when the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Ivysaur,2,green,grassland,generation-i,no-eggs,"when the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
Ivysaur,2,green,grassland,generation-i,no-eggs,exposure to sunlight adds to its strength. sunlight also makes the bud on its back grow larger.
Ivysaur,2,green,grassland,generation-i,no-eggs,"if the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
Ivysaur,2,green,grassland,generation-i,no-eggs,"there is a bud on this pokémon’s back. to support its weight, ivysaur’s legs and trunk grow thick and strong. if it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
Ivysaur,2,green,grassland,generation-i,no-eggs,the bud on its back grows by drawing energy. it gives off an aroma when it is ready to bloom.
Venusaur,3,green,grassland,generation-i,no-eggs,the plant blooms when it is absorbing solarenergy. it stays on the move to seek sunlight.
Venusaur,3,green,grassland,generation-i,no-eggs,the flower on its back catches the sun's rays.the sunlight is then absorbed and used for energy.
Venusaur,3,green,grassland,generation-i,no-eggs,"by spreading the broad petals of its flower andcatching the sun's rays, it fills its body with power."
Venusaur,3,green,grassland,generation-i,no-eggs,"it is able to con­ vert sunlight into energy. as aresult, it is more powerful in the summertime."
Venusaur,3,green,grassland,generation-i,no-eggs,"as it warms it­ self and absorbs the sunlight, itsflower petals release a pleasant fragrance."
Venusaur,3,green,grassland,generation-i,no-eggs,there is a large flower on venusaur’s back. the flower is said to take on vivid colors if it gets plenty of nutritionand sunlight. the flower’s aroma soothes the emotions of people.
Venusaur,3,green,grassland,generation-i,no-eggs,venusaur’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. the flower’s aroma soothes the emotions of people.
Venusaur,3,green,grassland,generation-i,no-eggs,a bewitching aroma wafts from its flower. the fragrance becalms those engaged in a battle.
Venusaur,3,green,grassland,generation-i,no-eggs,its plant blooms when it is absorbing solar energy. it stays on the move to seek sunlight.
Venusaur,3,green,grassland,generation-i,no-eggs,"after a rainy day, the flower on its back smells stronger. the scent attracts other pokémon."
Venusaur,3,green,grassland,generation-i,no-eggs,"by spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
Venusaur,3,green,grassland,generation-i,no-eggs,"it is able to convert sunlight into energy. as a result, it is more powerful in the summertime."
Venusaur,3,green,grassland,generation-i,no-eggs,there is a large flower on venusaur’s back. the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. the flower’s aroma soothes the emotions of people.
Venusaur,3,green,grassland,generation-i,no-eggs,the flower on its back catches the sun’s rays. the sunlight is then absorbed and used for energy.
Charmander,4,red,mountain,generation-i,no-eggs,"obviously prefers hot places. when it rains, steamis said to spout from the tip of its tail."
Charmander,4,red,mountain,generation-i,no-eggs,the flame at the tip of its tail makes a sound asit burns. you can only hear it in quiet places.
Charmander,4,red,mountain,generation-i,no-eggs,"the flame on its tail shows the strength of itslife force. if it is weak, the flame also burns weakly."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame on its tail indicates charmander's lifeforce. if it is healthy, the flame burns brightly."
Charmander,4,red,mountain,generation-i,no-eggs,"if it's healthy, the flame on the tip of its tailwill burn vigor­ ously, even if it gets a bit wet."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander isenjoying itself. if the pokémon becomes enraged, the flame burns fiercely."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander is happy, and blazes when it is enraged."
Charmander,4,red,mountain,generation-i,no-eggs,"from the time it is born, a flame burns at the tip of its tail. its life would end if the flame were to go out."
Charmander,4,red,mountain,generation-i,no-eggs,"it has a preference for hot things. when it rains, steam is said to spout from the tip of its tail."
Charmander,4,red,mountain,generation-i,no-eggs,"the fire on the tip of its tail is a measure of its life. if healthy, its tail burns intensely."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame on its tail shows the strength of its life force. if it is weak, the flame also burns weakly."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame on its tail indicates charmander’s life force. if it is healthy, the flame burns brightly."
Charmander,4,red,mountain,generation-i,no-eggs,"the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander is enjoying itself. if the pokémon becomes enraged, the flame burns fiercely."
Charmander,4,red,mountain,generation-i,no-eggs,the flame at the tip of its tail makes a sound as it burns. you can only hear it in quiet places.
Charmeleon,5,red,mountain,generation-i,no-eggs,"when it swings its burning tail, it elevates thetemperature to unbearably high levels."
Charmeleon,5,red,mountain,generation-i,no-eggs,"tough fights could excite this pokémon. whenexcited, it may blow out bluish- white flames."
Charmeleon,5,red,mountain,generation-i,no-eggs,"it is very hot­ headed by nature, so it constantlyseeks opponents. it calms down only when it wins."
Charmeleon,5,red,mountain,generation-i,no-eggs,"it has a barbaric nature. in battle, it whips itsfiery tail around and slashes away with sharp claws."
Charmeleon,5,red,mountain,generation-i,no-eggs,"if it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings."
Charmeleon,5,red,mountain,generation-i,no-eggs,"charmeleon mercilessly destroys its foes using its sharp claws. if it encounters a strong foe, it turnsaggressive. in this excited state, the flame at the tip of its tail flares with a bluish white color."
Charmeleon,5,red,mountain,generation-i,no-eggs,"without pity, its sharp claws destroy foes. if it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
Charmeleon,5,red,mountain,generation-i,no-eggs,it lashes about with its tail to knock down its foe. it then tears up the fallen opponent with sharp claws.
Charmeleon,5,red,mountain,generation-i,no-eggs,"when it swings its burning tail, it elevates the air temperature to  unbearably high levels."
Charmeleon,5,red,mountain,generation-i,no-eggs,"in the rocky mountains where charmeleon live, their fiery tails shine at night like stars."
Charmeleon,5,red,mountain,generation-i,no-eggs,"it is very hotheaded by nature, so it constantly seeks opponents. it calms down only when it wins."
Charmeleon,5,red,mountain,generation-i,no-eggs,"it has a barbaric nature. in battle, it whips its fiery tail around and slashes away with sharp claws."
Charmeleon,5,red,mountain,generation-i,no-eggs,"when it swings its burning tail, it elevates the air temperature to unbearably high levels."
Charmeleon,5,red,mountain,generation-i,no-eggs,"charmeleon mercilessly destroys its foes using its sharp claws. if it encounters a strong foe, it turns aggressive. in this excited state, the flame at the tip of its tail flares with a bluish white color."
Charmeleon,5,red,mountain,generation-i,no-eggs,"tough fights could excite this pokémon. when excited, it may breathe out bluish-white flames."
Charmeleon,5,red,mountain,generation-i,no-eggs,"if it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
Charizard,6,red,mountain,generation-i,no-eggs,spits fire that is hot enough to melt boulders.known to cause forest fires unintentionally.
Charizard,6,red,mountain,generation-i,no-eggs,"when expelling a blast of super hot fire, the redflame at the tip of its tail burns more intensely."
Charizard,6,red,mountain,generation-i,no-eggs,"if charizard be­ comes furious, the flame at the tipof its tail flares up in a whitish- blue color."
Charizard,6,red,mountain,generation-i,no-eggs,"breathing intense, hot flames, it can melt almost any­thing. its breath inflicts terrible pain on enemies."
Charizard,6,red,mountain,generation-i,no-eggs,it uses its wings to fly high. the temperature of itsfire increases as it gains exper­ ience in battle.
Charizard,6,red,mountain,generation-i,no-eggs,"charizard flies around the sky in search of powerful opponents. it breathes fire of such great heatthat it melts anything. however, it never turns its fiery breath on any opponent weaker than itself."
Charizard,6,red,mountain,generation-i,no-eggs,"a charizard flies about in search of strong opponents. it breathes intense flames that can melt any material. however, it will never torch a weaker foe."
Charizard,6,red,mountain,generation-i,no-eggs,"its wings can carry this pokémon close to an altitude of 4,600 feet. it blows out fire at very high temperatures."
Charizard,6,red,mountain,generation-i,no-eggs,it spits fire that is hot enough to melt boulders. it may cause forest fires by blowing flames.
Charizard,6,red,mountain,generation-i,no-eggs,it is said that charizard’s fire burns hotter if it has experienced harsh battles.
Charizard,6,red,mountain,generation-i,no-eggs,"if charizard becomes furious, the flame at the tip of its tail flares up in a light blue shade."
Charizard,6,red,mountain,generation-i,no-eggs,"breathing intense, hot flames, it can melt almost anything. its breath inflicts terrible pain on enemies."
Charizard,6,red,mountain,generation-i,no-eggs,"when expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
Charizard,6,red,mountain,generation-i,no-eggs,"charizard flies around the sky in search of powerful opponents. it breathes fire of such great heat that it melts anything. however, it never turns its fiery breath on any opponent weaker than itself."
Charizard,6,red,mountain,generation-i,no-eggs,"when this pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"after birth, its back swells and hardens into ashell. powerfully sprays foam from its mouth."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,shoots water at prey while in the water.withdraws into its shell when in danger.
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"the shell is soft when it is born. it soon becomes soresilient, prod­ ding fingers will bounce off it."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"the shell, which hardens soon after it is born, isresilient. if you poke it, it will bounce back out."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"when it feels threatened, it draws its legsinside its shell and sprays water from its mouth."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"squirtle’s shell is not merely used for protection. the shell’s rounded shape and thegrooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"its shell is not just for protection. its rounded shape and the grooves on its surface minimize resistance in water, enabling squirtle to swim at high speeds."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"when it retracts its long neck into its shell, it squirts out water with vigorous force."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"after birth, its back swells and hardens into a shell. it powerfully sprays foam  from its mouth."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"it shelters itself in its shell, then strikes back with spouts of water at every opportunity."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"the shell is soft when it is born. it soon becomes so resilient, prodding fingers will bounce off it."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"the shell, which hardens soon after it is born, is resilient. if you poke it, it will bounce back out."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,it shelters itself in its shell then strikes back with spouts of water at every opportunity.
Squirtle,7,blue,waters-edge,generation-i,no-eggs,shoots water at prey while in the water. withdraws into its shell when in danger.
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"squirtle’s shell is not merely used for protection. the shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds."
Squirtle,7,blue,waters-edge,generation-i,no-eggs,"when it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"often hides in water to stalk unwary prey. forswimming fast, it moves its ears to maintain balance."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"when tapped, this pokémon will pull in its head, butits tail will still stick out a little bit."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"it is recognized as a symbol of longevity. if itsshell has algae on it, that wartortle is very old."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,it cleverly con­ trols its furry ears and tail tomaintain its balance while swimming.
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"its long, furry tail is a symbol of longevity,making it quite popular among older people."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"its tail is large and covered with a rich, thick fur. the tail becomes increasingly deeper in color as wartortle ages.the scratches on its shell are evidence of this pokémon’s toughness as a battler."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"its large tail is covered with rich, thick fur that deepens in color with age. the scratches on its shell are evidence of this pokémon’s toughness in battle."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,this pokémon is very popular as a pet. its fur-covered tail is a symbol of its longevity.
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"it often hides in water to stalk unwary prey. for fast swimming, it moves its ears to maintain balance."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"it is said to live 10,000 years. its furry tail is popular as a symbol of longevity."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"it is a well-established symbol of longevity. if its shell has algae on it, that wartortle is very old."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,it cleverly controls its furry ears and tail to maintain its balance while swimming.
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"when tapped, this pokémon will pull in its head, but its tail will still stick out a little bit."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"its tail is large and covered with a rich, thick fur. the tail becomes increasingly deeper in color as wartortle ages. the scratches on its shell are evidence of this pokémon’s toughness as a battler."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"when tapped on its head, this pokémon will pull it in, but its tail will still stick out a little bit."
Wartortle,8,blue,waters-edge,generation-i,no-eggs,"it is recognized as a symbol of longevity. if its shell has algae on it, that wartortle is very old."
Blastoise,9,blue,waters-edge,generation-i,no-eggs,a brutal pokémon with pressurized water jets on itsshell. they are used for high speed tackles.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,"once it takes aim at its enemy, it blasts out waterwith even more force than a fire hose."
Blastoise,9,blue,waters-edge,generation-i,no-eggs,it deliberately makes itself heavy so it can with­stand the recoil of the water jets it fires.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the rocket cannons on its shell fire jets of watercapable of punch­ ing holes through thick steel.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,it firmly plants its feet on the ground beforeshooting water from the jets on its back.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,blastoise has water spouts that protrude from its shell. the water spouts are very accurate.they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the waterspouts that protrude from its shell are highly accurate. their bullets of water can precisely nail tin cans from a distance of over 160 feet.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,"it crushes its foe under its heavy body to cause fainting. in a pinch, it will withdraw inside its shell."
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the pressurized water jets on this brutal pokémon’s shell are used for high- speed tackles.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,it deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,the pressurized water jets on this brutal pokémon’s shell are used for high-speed tackles.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,blastoise has water spouts that protrude from its shell. the water spouts are very accurate. they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
Blastoise,9,blue,waters-edge,generation-i,no-eggs,"once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
Caterpie,10,green,forest,generation-i,no-eggs,its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
Caterpie,10,green,forest,generation-i,no-eggs,its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls.
Caterpie,10,green,forest,generation-i,no-eggs,"if you touch the feeler on top of its head, it willrelease a horrible stink to protect itself."
Caterpie,10,green,forest,generation-i,no-eggs,"for protection, it releases a horri­ ble stench fromthe antenna on its head to drive away enemies."
Caterpie,10,green,forest,generation-i,no-eggs,its feet have suction cups designed to stickto any surface. it tenaciously climbs trees to forage.
Caterpie,10,green,forest,generation-i,no-eggs,it crawls into foliage where it camouflages itselfamong leaves that are the same color as its body.
Caterpie,10,green,forest,generation-i,no-eggs,"caterpie has a voracious appetite. it can devour leaves bigger than its body right before your eyes.from its antenna, this pokémon releases a terrifically strong odor."
Caterpie,10,green,forest,generation-i,no-eggs,its voracious appetite compels it to devour leaves bigger than itself without hesitation. it releases a terribly strong odor from its antennae.
Caterpie,10,green,forest,generation-i,no-eggs,"it is covered with a green skin. when it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
Caterpie,10,green,forest,generation-i,no-eggs,it releases a stench from its red antenna to repel enemies. it grows by molting repeatedly.
Caterpie,10,green,forest,generation-i,no-eggs,"for protection, it releases a horrible stench from the antennae on its head to drive away enemies."
Caterpie,10,green,forest,generation-i,no-eggs,its feet have suction cups designed to stick to any surface. it tenaciously climbs trees to forage.
Caterpie,10,green,forest,generation-i,no-eggs,"caterpie has a voracious appetite. it can devour leaves bigger than its body right before your eyes. from its antenna, this pokémon releases a terrifically strong odor."
Caterpie,10,green,forest,generation-i,no-eggs,"when attacked by bird pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."
Caterpie,10,green,forest,generation-i,no-eggs,"it’s easy to catch, and it grows quickly, making it one of the top recommendations for novice pokémon trainers."
Caterpie,10,green,forest,generation-i,no-eggs,"perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
Caterpie,10,green,forest,generation-i,no-eggs,"its body is soft and weak. in nature, its perpetual fate is to be seen by others as food."
Caterpie,10,green,forest,generation-i,no-eggs,"if you touch the feeler on top of its head, it will release a horrible stink to protect itself."
Caterpie,10,green,forest,generation-i,no-eggs,"for protection, it releases a horrible stench from the antenna on its head to drive away enemies."
Metapod,11,green,forest,generation-i,no-eggs,"this pokémon is vulnerable to attack while itsshell is soft, exposing its weak and tender body."
Metapod,11,green,forest,generation-i,no-eggs,"hardens its shell to protect itself. however, a largeimpact may cause it to pop out of its shell."
Metapod,11,green,forest,generation-i,no-eggs,"inside the shell, it is soft and weak as it pre­pares to evolve. it stays motion­ less in the shell."
Metapod,11,green,forest,generation-i,no-eggs,it prepares for evolution by har­ dening its shellas much as possi­ ble to protect its soft body.
Metapod,11,green,forest,generation-i,no-eggs,"this is its pre- evolved form. at this stage, it canonly harden, so it remains motionless to avoid attack."
Metapod,11,green,forest,generation-i,no-eggs,the shell covering this pokémon’s body is as hard as an iron slab. metapod does not move very much.it stays still because it is preparing its soft innards for evolution inside the hard shell.
Metapod,11,green,forest,generation-i,no-eggs,its shell is as hard as an iron slab. a metapod does not move very much because it is preparing its soft innards for evolution inside the shell.
Metapod,11,green,forest,generation-i,no-eggs,"even though it is encased in a sturdy shell, the body inside is tender. it can’t withstand a harsh attack."
Metapod,11,green,forest,generation-i,no-eggs,"this pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
Metapod,11,green,forest,generation-i,no-eggs,a steel-hard shell protects its tender body. it quietly endures hardships while awaiting evolution.
Metapod,11,green,forest,generation-i,no-eggs,"inside the shell, it is soft and weak as it prepares to evolve. it stays motionless in the shell."
Metapod,11,green,forest,generation-i,no-eggs,it prepares for evolution by hardening its shell as much as possible to protect its soft body.
