Pokemon,Number,Color,Habitat,Type,Generation,Description
Bulbasaur,1,green,grassland,Grass Poison,generation-i,"green grassland grass poison - a strange seed was planted on its back at birth.the plant sprouts and grows with this pokémon. it can go for days without eating a single morsel.in the bulb on its back, it stores energy. the seed on its back is filled with nutrients.the seed grows steadily larger as its body grows. it carries a seed on its back right from birth. as itgrows older, the seed also grows larger. while it is young, it uses the nutrients that arestored in the seeds on its back in order to grow. bulbasaur can be seen napping in bright sunlight. there is a seed on its back.by soaking up the sun’s rays, the seed grows progressively larger. bulbasaur can be seen napping in bright sunlight. there is a seed on its back. by soaking up the sun’s rays, the seed grows progressively larger. there is a plant seed on its back right from the day this pokémon is born. the seed slowly grows larger. a strange seed was planted on its back at birth. the plant sprouts and grows with this pokémon. for some time after its birth, it grows by gaining nourishment from the seed on its back. the seed on its back is filled with nutrients. the seed grows steadily larger as its body grows. it carries a seed on its back right from birth. as it grows older, the seed also grows larger. it can go for days without eating a single morsel. in the bulb on its back, it stores energy. while it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
Ivysaur,2,green,grassland,Grass Poison,generation-i,"green grassland grass poison - when the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs. the bulb on its back grows by drawing energy.it gives off an aroma when it is ready to bloom. exposure to sun­ light adds to its strength. sunlightalso makes the bud on its back grow larger. if the bud on its back starts to smell sweet, itis evidence that the large flower will soon bloom. the bulb on its back grows as it absorbs nutrients.the bulb gives off a pleasant aroma when it blooms. there is a bud on this pokémon’s back. to support its weight, ivysaur’s legs and trunk grow thick and strong.if it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. to support its bulb, ivysaur’s legs grow sturdy. if it spends more time lying in the sunlight, the bud will soon bloom into a large flower. there is a plant bulb on its back. when it absorbs nutrients, the bulb is said to blossom into a large flower. when the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. when the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom. exposure to sunlight adds to its strength. sunlight also makes the bud on its back grow larger. if the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. there is a bud on this pokémon’s back. to support its weight, ivysaur’s legs and trunk grow thick and strong. if it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. the bud on its back grows by drawing energy. it gives off an aroma when it is ready to bloom."
Venusaur,3,green,grassland,Grass Poison,generation-i,"green grassland grass poison - the plant blooms when it is absorbing solarenergy. it stays on the move to seek sunlight. the flower on its back catches the sun's rays.the sunlight is then absorbed and used for energy. by spreading the broad petals of its flower andcatching the sun's rays, it fills its body with power. it is able to con­ vert sunlight into energy. as aresult, it is more powerful in the summertime. as it warms it­ self and absorbs the sunlight, itsflower petals release a pleasant fragrance. there is a large flower on venusaur’s back. the flower is said to take on vivid colors if it gets plenty of nutritionand sunlight. the flower’s aroma soothes the emotions of people. venusaur’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. the flower’s aroma soothes the emotions of people. a bewitching aroma wafts from its flower. the fragrance becalms those engaged in a battle. its plant blooms when it is absorbing solar energy. it stays on the move to seek sunlight. after a rainy day, the flower on its back smells stronger. the scent attracts other pokémon. by spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power. it is able to convert sunlight into energy. as a result, it is more powerful in the summertime. there is a large flower on venusaur’s back. the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. the flower’s aroma soothes the emotions of people. the flower on its back catches the sun’s rays. the sunlight is then absorbed and used for energy."
Charmander,4,red,mountain,Fire,generation-i,"red mountain fire - obviously prefers hot places. when it rains, steamis said to spout from the tip of its tail. the flame at the tip of its tail makes a sound asit burns. you can only hear it in quiet places. the flame on its tail shows the strength of itslife force. if it is weak, the flame also burns weakly. the flame on its tail indicates charmander's lifeforce. if it is healthy, the flame burns brightly. if it's healthy, the flame on the tip of its tailwill burn vigor­ ously, even if it gets a bit wet. the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander isenjoying itself. if the pokémon becomes enraged, the flame burns fiercely. the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander is happy, and blazes when it is enraged. from the time it is born, a flame burns at the tip of its tail. its life would end if the flame were to go out. it has a preference for hot things. when it rains, steam is said to spout from the tip of its tail. the fire on the tip of its tail is a measure of its life. if healthy, its tail burns intensely. the flame on its tail shows the strength of its life force. if it is weak, the flame also burns weakly. the flame on its tail indicates charmander’s life force. if it is healthy, the flame burns brightly. the flame that burns at the tip of its tail is an indication of its emotions. the flame wavers when charmander is enjoying itself. if the pokémon becomes enraged, the flame burns fiercely. the flame at the tip of its tail makes a sound as it burns. you can only hear it in quiet places."
Charmeleon,5,red,mountain,Fire,generation-i,"red mountain fire - when it swings its burning tail, it elevates thetemperature to unbearably high levels. tough fights could excite this pokémon. whenexcited, it may blow out bluish- white flames. it is very hot­ headed by nature, so it constantlyseeks opponents. it calms down only when it wins. it has a barbaric nature. in battle, it whips itsfiery tail around and slashes away with sharp claws. if it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings. charmeleon mercilessly destroys its foes using its sharp claws. if it encounters a strong foe, it turnsaggressive. in this excited state, the flame at the tip of its tail flares with a bluish white color. without pity, its sharp claws destroy foes. if it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color. it lashes about with its tail to knock down its foe. it then tears up the fallen opponent with sharp claws. when it swings its burning tail, it elevates the air temperature to  unbearably high levels. in the rocky mountains where charmeleon live, their fiery tails shine at night like stars. it is very hotheaded by nature, so it constantly seeks opponents. it calms down only when it wins. it has a barbaric nature. in battle, it whips its fiery tail around and slashes away with sharp claws. when it swings its burning tail, it elevates the air temperature to unbearably high levels. charmeleon mercilessly destroys its foes using its sharp claws. if it encounters a strong foe, it turns aggressive. in this excited state, the flame at the tip of its tail flares with a bluish white color. tough fights could excite this pokémon. when excited, it may breathe out bluish-white flames. if it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
Charizard,6,red,mountain,Fire Flying,generation-i,"red mountain fire flying - spits fire that is hot enough to melt boulders.known to cause forest fires unintentionally. when expelling a blast of super hot fire, the redflame at the tip of its tail burns more intensely. if charizard be­ comes furious, the flame at the tipof its tail flares up in a whitish- blue color. breathing intense, hot flames, it can melt almost any­thing. its breath inflicts terrible pain on enemies. it uses its wings to fly high. the temperature of itsfire increases as it gains exper­ ience in battle. charizard flies around the sky in search of powerful opponents. it breathes fire of such great heatthat it melts anything. however, it never turns its fiery breath on any opponent weaker than itself. a charizard flies about in search of strong opponents. it breathes intense flames that can melt any material. however, it will never torch a weaker foe. its wings can carry this pokémon close to an altitude of 4,600 feet. it blows out fire at very high temperatures. it spits fire that is hot enough to melt boulders. it may cause forest fires by blowing flames. it is said that charizard’s fire burns hotter if it has experienced harsh battles. if charizard becomes furious, the flame at the tip of its tail flares up in a light blue shade. breathing intense, hot flames, it can melt almost anything. its breath inflicts terrible pain on enemies. when expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely. charizard flies around the sky in search of powerful opponents. it breathes fire of such great heat that it melts anything. however, it never turns its fiery breath on any opponent weaker than itself. when this pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
Squirtle,7,blue,waters-edge,Water,generation-i,"blue waters-edge water - after birth, its back swells and hardens into ashell. powerfully sprays foam from its mouth. shoots water at prey while in the water.withdraws into its shell when in danger. the shell is soft when it is born. it soon becomes soresilient, prod­ ding fingers will bounce off it. the shell, which hardens soon after it is born, isresilient. if you poke it, it will bounce back out. when it feels threatened, it draws its legsinside its shell and sprays water from its mouth. squirtle’s shell is not merely used for protection. the shell’s rounded shape and thegrooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds. its shell is not just for protection. its rounded shape and the grooves on its surface minimize resistance in water, enabling squirtle to swim at high speeds. when it retracts its long neck into its shell, it squirts out water with vigorous force. after birth, its back swells and hardens into a shell. it powerfully sprays foam  from its mouth. it shelters itself in its shell, then strikes back with spouts of water at every opportunity. the shell is soft when it is born. it soon becomes so resilient, prodding fingers will bounce off it. the shell, which hardens soon after it is born, is resilient. if you poke it, it will bounce back out. it shelters itself in its shell then strikes back with spouts of water at every opportunity. shoots water at prey while in the water. withdraws into its shell when in danger. squirtle’s shell is not merely used for protection. the shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this pokémon to swim at high speeds. when it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
Wartortle,8,blue,waters-edge,Water,generation-i,"blue waters-edge water - often hides in water to stalk unwary prey. forswimming fast, it moves its ears to maintain balance. when tapped, this pokémon will pull in its head, butits tail will still stick out a little bit. it is recognized as a symbol of longevity. if itsshell has algae on it, that wartortle is very old. it cleverly con­ trols its furry ears and tail tomaintain its balance while swimming. its long, furry tail is a symbol of longevity,making it quite popular among older people. its tail is large and covered with a rich, thick fur. the tail becomes increasingly deeper in color as wartortle ages.the scratches on its shell are evidence of this pokémon’s toughness as a battler. its large tail is covered with rich, thick fur that deepens in color with age. the scratches on its shell are evidence of this pokémon’s toughness in battle. this pokémon is very popular as a pet. its fur-covered tail is a symbol of its longevity. it often hides in water to stalk unwary prey. for fast swimming, it moves its ears to maintain balance. it is said to live 10,000 years. its furry tail is popular as a symbol of longevity. it is a well-established symbol of longevity. if its shell has algae on it, that wartortle is very old. it cleverly controls its furry ears and tail to maintain its balance while swimming. when tapped, this pokémon will pull in its head, but its tail will still stick out a little bit. its tail is large and covered with a rich, thick fur. the tail becomes increasingly deeper in color as wartortle ages. the scratches on its shell are evidence of this pokémon’s toughness as a battler. when tapped on its head, this pokémon will pull it in, but its tail will still stick out a little bit. it is recognized as a symbol of longevity. if its shell has algae on it, that wartortle is very old."
Blastoise,9,blue,waters-edge,Water,generation-i,"blue waters-edge water - a brutal pokémon with pressurized water jets on itsshell. they are used for high speed tackles. once it takes aim at its enemy, it blasts out waterwith even more force than a fire hose. it deliberately makes itself heavy so it can with­stand the recoil of the water jets it fires. the rocket cannons on its shell fire jets of watercapable of punch­ ing holes through thick steel. it firmly plants its feet on the ground beforeshooting water from the jets on its back. blastoise has water spouts that protrude from its shell. the water spouts are very accurate.they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. the waterspouts that protrude from its shell are highly accurate. their bullets of water can precisely nail tin cans from a distance of over 160 feet. it crushes its foe under its heavy body to cause fainting. in a pinch, it will withdraw inside its shell. the pressurized water jets on this brutal pokémon’s shell are used for high- speed tackles. the jets of water it spouts from the rocket cannons on its shell can punch through thick steel. it deliberately makes itself heavy so it can withstand the recoil of the water jets it fires. the rocket cannons on its shell fire jets of water capable of punching holes through thick steel. the pressurized water jets on this brutal pokémon’s shell are used for high-speed tackles. blastoise has water spouts that protrude from its shell. the water spouts are very accurate. they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
Caterpie,10,green,forest,Bug,generation-i,"green forest bug - its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls. if you touch the feeler on top of its head, it willrelease a horrible stink to protect itself. for protection, it releases a horri­ ble stench fromthe antenna on its head to drive away enemies. its feet have suction cups designed to stickto any surface. it tenaciously climbs trees to forage. it crawls into foliage where it camouflages itselfamong leaves that are the same color as its body. caterpie has a voracious appetite. it can devour leaves bigger than its body right before your eyes.from its antenna, this pokémon releases a terrifically strong odor. its voracious appetite compels it to devour leaves bigger than itself without hesitation. it releases a terribly strong odor from its antennae. it is covered with a green skin. when it grows, it sheds the skin, covers itself with silk, and becomes a cocoon. it releases a stench from its red antenna to repel enemies. it grows by molting repeatedly. for protection, it releases a horrible stench from the antennae on its head to drive away enemies. its feet have suction cups designed to stick to any surface. it tenaciously climbs trees to forage. caterpie has a voracious appetite. it can devour leaves bigger than its body right before your eyes. from its antenna, this pokémon releases a terrifically strong odor. when attacked by bird pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey. it’s easy to catch, and it grows quickly, making it one of the top recommendations for novice pokémon trainers. perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day. its body is soft and weak. in nature, its perpetual fate is to be seen by others as food. if you touch the feeler on top of its head, it will release a horrible stink to protect itself. for protection, it releases a horrible stench from the antenna on its head to drive away enemies."
